iter	Passed	Remaining
400	19854	1930
401	19908	1881
402	19962	1832
403	20013	1783
404	20063	1733
405	20113	1684
406	20161	1634
407	20206	1584
408	20257	1535
409	20306	1485
410	20355	1436
411	20403	1386
412	20451	1337
413	20503	1287
414	20552	1238
415	20600	1188
416	20649	1138
417	20698	1089
418	20748	1039
419	20796	990
420	20844	940
421	20893	891
422	20943	841
423	20991	792
424	21042	742
425	21088	693
426	21137	643
427	21185	593
428	21235	544
429	21284	494
430	21333	445
431	21384	396
432	21434	346
433	21482	296
434	21532	247
435	21584	198
436	21633	148
437	21682	99
438	21730	49
439	21780	0
